model,samples,features,group_folds,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean
ExtraTrees,254,23,5,-0.08200743013136383,0.43311870032199157,13.313234816349993,16.763199439149922
XGBoost,254,23,5,-0.3379690572026857,0.5843500411903217,15.035627363012878,18.204383128267892
RandomForest,254,23,5,-0.37670233215921334,0.6805147077258871,15.400826913377818,18.313328614096136
