Model,CV_RMSE_Mean,CV_RMSE_STD,CV_MAE_Mean,CV_R2_Mean,OOF_RMSE,OOF_MAE,OOF_R2
Extra Trees,1.3930668621498214,0.16970515074217304,0.9565188634307182,0.8708103696519217,1.403376374115601,0.9568216583124476,0.8749800877720088
XGBoost,1.649882063693554,0.16737292054533573,1.1220513223104431,0.8202576722974351,1.6589280087455527,1.1222360416462547,0.8253027988103601
Gradient Boosting,1.7836696634594422,0.16443669254804463,1.2167164979527074,0.7911941689866603,1.7919949966756006,1.2164577448993785,0.7961529394324804
Random Forest,1.8523774137220008,0.3312353153307977,1.2928405279938795,0.7692659680608053,1.882756869735622,1.2930439450899978,0.7749809174175357
Linear Regression,2.541709844896044,0.2897453266485908,2.0060272753016806,0.5693457493664372,2.556646309347631,2.004860688371414,0.5850725469534356
Ridge Regression,2.876732350349341,0.27306464590892976,2.328976689787284,0.4492046924326667,2.8875684312064576,2.3276535010059676,0.47070786795737285
