LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_Resistance_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,SPT_BlowCount_N,Moisture_Content,Mv_400kPa,Cv_400kPa,CPT_MPa,Grain_2.00mm,Grain_4.75mm,Grain_4.25um,Grain_2um,Fines_Content,Sand_Fraction,Gravel_Fraction,Clay_Fraction,Silt_Fraction,Liquidity_Index,Consistency_Index,Plasticity_Ratio,LL_over_PL
42.6,18.8,23.8,19.6,8.0,47.0,0.71,,,0.91,,,66.09,,61.5,32.1,geotechnical_data_4.xlsx,,52.4,0.39,1.1,,100.0,,,,32.1,67.9,0.0,,,1.4117647058823526,-0.4117647058823528,0.5586854460093896,2.2659574468085104
48.0,23.9,24.1,19.7,8.0,47.5,0.64,,,0.95,,,75.53,,67.4,26.6,geotechnical_data_4.xlsx,,51.8,0.68,0.98,,100.0,,,,26.6,73.4,0.0,,,1.1576763485477177,-0.15767634854771773,0.5020833333333333,2.00836820083682
46.4,26.3,20.1,19.8,11.0,56.1,0.57,,,0.81,,,94.42,,67.4,32.8,geotechnical_data_4.xlsx,,50.5,0.57,0.86,,99.7,,,,32.8,66.9,0.29999999999999716,,,1.2039800995024874,-0.2039800995024876,0.4331896551724138,1.7642585551330798
38.1,19.7,18.4,20.1,9.0,62.4,0.41,,,0.87,,,198.28,,58.1,35.0,geotechnical_data_4.xlsx,,46.7,0.48,0.94,,97.4,,,,35.0,62.400000000000006,2.5999999999999943,,,1.4673913043478264,-0.4673913043478262,0.4829396325459317,1.934010152284264
33.0,19.2,13.8,20.1,8.0,52.8,0.37,,,0.51,,,,,42.6,19.2,geotechnical_data_4.xlsx,,45.6,0.41,0.8,,90.4,,,,19.2,71.2,9.599999999999994,,,1.9130434782608696,-0.9130434782608696,0.4181818181818182,1.71875
34.8,22.1,12.7,20.5,8.0,53.1,0.33,,,0.65,,,217.16,,46.8,16.4,geotechnical_data_4.xlsx,,38.2,0.4,0.76,,89.3,,,,16.4,72.9,10.700000000000003,,,1.267716535433071,-0.26771653543307133,0.3649425287356322,1.5746606334841626
84.0,34.2,49.8,19.6,12.0,63.0,0.64,,,1.03,,,302.14,,77.1,71.4,geotechnical_data_4.xlsx,,91.1,0.73,1.42,,99.3,,,,71.4,27.89999999999999,0.7000000000000028,,,1.142570281124498,-0.14257028112449788,0.5928571428571429,2.4561403508771926
80.0,33.9,46.1,19.9,12.0,64.0,0.72,,,1.24,,,,,95.7,87.3,geotechnical_data_4.xlsx,,85.9,0.98,2.2,,100.0,,,,87.3,12.700000000000003,0.0,,,1.1279826464208245,-0.1279826464208244,0.57625,2.359882005899705
39.6,24.4,15.2,18.5,6.0,38.2,0.72,,,1.15,,,,,67.5,36.5,geotechnical_data_4.xlsx,,41.4,0.65,1.34,,99.5,,,,36.5,63.0,0.5,,,1.118421052631579,-0.11842105263157876,0.3838383838383838,1.6229508196721314
40.1,23.0,17.1,19.4,8.0,47.0,0.7,,,0.93,,,75.54,,60.8,27.8,geotechnical_data_4.xlsx,,46.0,0.53,1.15,,98.8,,,,27.8,71.0,1.2000000000000028,,,1.3450292397660817,-0.34502923976608174,0.4264339152119701,1.7434782608695654
42.4,25.0,17.4,19.5,8.0,47.2,0.63,,,0.98,,,94.42,,64.7,32.6,geotechnical_data_4.xlsx,,43.7,0.64,0.97,,99.4,,,,32.6,66.80000000000001,0.5999999999999943,,,1.074712643678161,-0.07471264367816118,0.410377358490566,1.696
45.2,25.6,19.6,19.8,11.0,58.6,0.46,,,0.81,,,122.75,,75.1,32.8,geotechnical_data_4.xlsx,,48.5,0.54,0.89,,96.7,,,,32.8,63.900000000000006,3.299999999999997,,,1.1683673469387754,-0.16836734693877536,0.4336283185840708,1.765625
50.1,26.4,23.7,19.8,9.0,63.0,0.4,,,0.82,,,188.84,,78.1,33.8,geotechnical_data_4.xlsx,,56.4,0.48,0.92,,99.3,,,,33.8,65.5,0.7000000000000028,,,1.2658227848101267,-0.26582278481012644,0.4730538922155688,1.897727272727273
55.0,25.1,29.9,19.9,7.0,53.4,0.35,,,0.54,,,,,65.8,31.3,geotechnical_data_4.xlsx,,56.9,0.41,0.8,,85.0,,,,31.3,53.7,15.0,,,1.0635451505016722,-0.0635451505016722,0.5436363636363636,2.191235059760956
93.0,40.6,52.4,19.6,11.0,58.0,0.67,,,0.98,,,302.14,,86.3,76.9,geotechnical_data_4.xlsx,,97.4,0.79,1.38,,96.8,,,,76.9,19.89999999999999,3.200000000000003,,,1.083969465648855,-0.08396946564885507,0.5634408602150538,2.29064039408867
95.0,38.2,56.8,19.8,12.0,63.0,0.74,,,1.02,,,,,84.4,80.4,geotechnical_data_4.xlsx,,98.4,0.88,1.61,,97.3,,,,80.4,16.89999999999999,2.700000000000003,,,1.0598591549295775,-0.059859154929577565,0.5978947368421053,2.486910994764398
39.0,18.5,20.5,17.658,6.0,62.5,0.24,,0.13,2.26,,3.96,141.62,96.7,74.6,47.5,geotechnical_data_6.xlsx,,,,,,,,,,47.5,49.2,3.299999999999997,,,,,0.5256410256410257,2.108108108108108
37.2,19.0,18.2,17.658,8.0,63.4,0.21,,0.12,2.09,,3.13,,96.5,73.8,45.2,geotechnical_data_6.xlsx,,,,,,,,,,45.2,51.3,3.5,,,,,0.48924731182795694,1.9578947368421054
36.7,20.5,16.2,17.658,10.0,64.2,0.2,,0.1,1.78,,2.75,226.6,96.0,72.8,41.2,geotechnical_data_6.xlsx,,,,,,,,,,41.2,54.8,4.0,,,,,0.44141689373297,1.7902439024390244
30.0,19.6,10.4,18.148500000000002,15.0,65.0,0.19,,0.09,1.65,,2.4,254.93,98.5,72.4,36.1,geotechnical_data_6.xlsx,,,,,,,,,,36.1,62.4,1.5,,,,,0.3466666666666667,1.530612244897959
26.2,19.2,7.0,18.639,17.0,68.6,0.13,,0.07,1.45,,1.8,,98.0,73.4,25.8,geotechnical_data_6.xlsx,,,,,,,,,,25.8,72.2,2.0,,,,,0.26717557251908397,1.3645833333333333
49.6,28.6,21.0,17.658,5.0,52.6,0.3,,0.19,2.41,,4.12,132.88,99.2,85.0,48.7,geotechnical_data_6.xlsx,,,,,,,,,,48.7,50.5,0.7999999999999972,,,,,0.42338709677419356,1.7342657342657342
51.0,25.9,25.1,17.658,6.0,61.4,0.28,,0.14,2.3,,3.84,141.62,98.7,72.5,44.7,geotechnical_data_6.xlsx,,,,,,,,,,44.7,54.0,1.2999999999999972,,,,,0.49215686274509807,1.9691119691119692
47.4,24.8,22.6,17.7561,10.0,63.6,0.21,,0.11,1.93,,2.7,198.6,97.8,71.5,42.4,geotechnical_data_6.xlsx,,,,,,,,,,42.4,55.4,2.200000000000003,,,,,0.47679324894514774,1.911290322580645
36.0,19.9,16.1,18.050400000000003,15.0,64.6,0.2,,0.1,1.72,,2.36,217.16,96.3,68.1,36.7,geotechnical_data_6.xlsx,,,,,,,,,,36.7,59.599999999999994,3.700000000000003,,,,,0.44722222222222224,1.8090452261306533
38.7,24.5,14.2,18.639,15.0,66.4,0.17,,0.08,1.36,,1.98,,96.1,65.6,35.0,geotechnical_data_6.xlsx,,,,,,,,,,35.0,61.099999999999994,3.9000000000000057,,,,,0.36692506459948315,1.579591836734694
46.0,24.6,21.4,17.658,12.0,65.8,0.31,,0.17,1.24,,1.4,254.93,97.7,76.5,53.1,geotechnical_data_6.xlsx,,,,,,,,,,53.1,44.6,2.299999999999997,,,,,0.4652173913043478,1.8699186991869918
43.2,23.1,20.1,17.854200000000002,12.0,70.4,0.42,,0.24,1.06,,1.25,,97.3,75.5,50.4,geotechnical_data_6.xlsx,,,,,,,,,,50.4,46.9,2.700000000000003,,,,,0.4652777777777778,1.87012987012987
51.0,26.0,25.0,17.7561,8.0,63.4,0.29,,0.14,2.31,,3.8,151.07,98.0,76.4,48.0,geotechnical_data_6.xlsx,,,,,,,,,,48.0,50.0,2.0,,,,,0.49019607843137253,1.9615384615384615
38.9,20.3,18.6,18.050400000000003,10.0,64.8,0.21,,0.11,1.96,,2.75,207.72,97.6,70.1,39.4,geotechnical_data_6.xlsx,,,,,,,,,,39.4,58.199999999999996,2.4000000000000057,,,,,0.47814910025706947,1.9162561576354677
26.1,19.1,7.0,18.344700000000003,15.0,63.4,0.19,,0.08,1.72,,2.46,254.93,97.8,71.5,31.4,geotechnical_data_6.xlsx,,,,,,,,,,31.4,66.4,2.200000000000003,,,,,0.2681992337164751,1.3664921465968587
27.3,18.9,8.4,18.8352,18.0,67.2,0.17,,0.06,1.39,,1.93,,96.0,69.1,25.0,geotechnical_data_6.xlsx,,,,,,,,,,25.0,71.0,4.0,,,,,0.3076923076923077,1.4444444444444446
42.5,23.0,19.5,17.658,8.0,62.0,0.24,,0.16,2.18,,3.91,151.07,98.7,74.8,45.2,geotechnical_data_6.xlsx,,,,,,,,,,45.2,53.5,1.2999999999999972,,,,,0.4588235294117647,1.8478260869565217
41.7,22.7,19.0,17.7561,9.0,,0.23,,0.15,1.94,,3.25,,98.6,73.1,43.2,geotechnical_data_6.xlsx,,,,,,,,,,43.2,55.39999999999999,1.4000000000000057,,,,,0.45563549160671457,1.837004405286344
40.1,21.7,18.4,17.854200000000002,10.0,64.6,0.2,,0.14,1.87,,2.88,188.84,98.5,72.6,41.4,geotechnical_data_6.xlsx,,,,,,,,,,41.4,57.1,1.5,,,,,0.4588528678304239,1.847926267281106
38.1,24.4,13.7,18.148500000000002,15.0,67.0,0.18,,0.13,1.54,,2.36,254.93,99.0,75.4,39.4,geotechnical_data_6.xlsx,,,,,,,,,,39.4,59.6,1.0,,,,,0.3595800524934383,1.5614754098360657
35.4,23.6,11.8,18.344700000000003,17.0,68.4,0.15,,0.11,1.21,,1.7,,98.5,72.5,36.4,geotechnical_data_6.xlsx,,,,,,,,,,36.4,62.1,1.5,,,,,0.33333333333333337,1.4999999999999998
40.1,20.0,20.1,18.8352,10.0,61.4,0.2,,0.12,1.16,,1.52,302.14,98.4,77.4,53.4,geotechnical_data_6.xlsx,,,,,,,,,,53.4,45.00000000000001,1.5999999999999943,,,,,0.5012468827930174,2.005
41.8,19.0,22.8,18.639,12.0,69.5,0.17,,0.07,0.93,,1.28,,98.2,75.8,49.5,geotechnical_data_6.xlsx,,,,,,,,,,49.5,48.7,1.7999999999999972,,,,,0.5454545454545455,2.1999999999999997
43.6,27.2,16.4,17.7561,8.0,63.5,0.27,,0.16,2.28,,3.67,160.51,98.4,74.5,53.2,geotechnical_data_6.xlsx,,,,,,,,,,53.2,45.2,1.5999999999999943,,,,,0.37614678899082565,1.6029411764705883
38.4,23.0,15.4,17.854200000000002,12.0,66.4,0.24,,0.13,2.19,,2.86,207.72,98.0,72.5,47.6,geotechnical_data_6.xlsx,,,,,,,,,,47.6,50.4,2.0,,,,,0.4010416666666667,1.6695652173913043
30.4,21.0,9.4,18.8352,14.0,67.0,0.21,,0.11,1.84,,2.14,245.49,97.8,70.1,39.4,geotechnical_data_6.xlsx,,,,,,,,,,39.4,58.4,2.200000000000003,,,,,0.3092105263157895,1.4476190476190476
35.4,28.0,7.4,18.639,15.0,68.2,0.17,,0.08,1.52,,1.96,,97.6,69.5,37.8,geotechnical_data_6.xlsx,,,,,,,,,,37.8,59.8,2.4000000000000057,,,,,0.2090395480225989,1.2642857142857142
39.6,23.6,16.0,17.854200000000002,10.0,70.0,0.18,,0.15,1.23,,1.8,273.81,97.1,74.1,66.4,geotechnical_data_6.xlsx,,,,,,,,,,66.4,30.69999999999999,2.9000000000000057,,,,,0.40404040404040403,1.6779661016949152
41.1,21.1,20.0,18.050400000000003,12.0,71.7,0.16,,0.12,0.97,,1.23,,96.5,71.4,60.1,geotechnical_data_6.xlsx,,,,,,,,,,60.1,36.4,3.5,,,,,0.48661800486618,1.947867298578199
47.6,26.6,21.0,17.559900000000003,6.0,58.8,0.32,,0.16,2.39,,3.98,127.46,98.8,78.3,48.2,geotechnical_data_6.xlsx,,,,,,,,,,48.2,50.599999999999994,1.2000000000000028,,,,,0.4411764705882353,1.7894736842105263
49.1,23.0,26.1,17.658,8.0,60.5,0.28,,0.15,2.14,,3.78,160.5,98.5,77.4,46.2,geotechnical_data_6.xlsx,,,,,,,,,,46.2,52.3,1.5,,,,,0.5315682281059063,2.134782608695652
40.1,20.3,19.8,17.854200000000002,12.0,64.5,0.22,,0.12,1.88,,2.98,198.28,98.3,74.1,41.2,geotechnical_data_6.xlsx,,,,,,,,,,41.2,57.099999999999994,1.7000000000000028,,,,,0.4937655860349127,1.9753694581280787
36.0,20.0,16.0,18.344700000000003,15.0,65.0,0.2,,0.1,1.72,,2.61,226.6,98.2,71.6,38.6,geotechnical_data_6.xlsx,,,,,,,,,,38.6,59.6,1.7999999999999972,,,,,0.4444444444444444,1.8
28.0,11.9,16.1,18.8352,16.0,69.0,0.14,,0.07,1.24,,1.82,264.37,97.5,69.5,27.6,geotechnical_data_6.xlsx,,,,,,,,,,27.6,69.9,2.5,,,,,0.5750000000000001,2.3529411764705883
34.6,23.1,11.5,18.050400000000003,11.0,52.6,0.47,,,0.65,,,,,70.6,34.9,geotechnical_data_7.xlsx,,38.4,0.51,0.8,,99.4,,,,34.9,64.5,0.5999999999999943,,,1.3304347826086953,-0.3304347826086954,0.33236994219653176,1.4978354978354977
32.1,20.1,12.0,,12.0,54.8,0.45,,,0.61,,,,,67.6,34.5,geotechnical_data_7.xlsx,25.0,37.4,0.49,0.72,,99.0,,,,34.5,64.5,1.0,,,1.4416666666666664,-0.44166666666666643,0.37383177570093457,1.5970149253731343
29.1,16.8,12.3,18.344700000000003,14.0,60.4,0.39,,,0.57,,,,,64.7,33.7,geotechnical_data_7.xlsx,,33.6,0.47,0.7,,98.7,,,,33.7,65.0,1.2999999999999972,,,1.3658536585365852,-0.36585365853658536,0.422680412371134,1.7321428571428572
24.6,15.0,9.6,18.639,15.0,40.5,0.35,,,0.52,,,,,63.1,21.2,geotechnical_data_7.xlsx,,28.4,0.4,0.69,,98.4,,,,21.2,77.2,1.5999999999999943,,,1.3958333333333333,-0.39583333333333304,0.39024390243902435,1.6400000000000001
22.6,13.9,8.7,18.8352,16.0,37.2,0.3,,,0.45,,,,,59.7,18.5,geotechnical_data_7.xlsx,21.0,25.1,0.38,0.54,,99.2,,,,18.5,80.7,0.7999999999999972,,,1.2873563218390807,-0.2873563218390805,0.3849557522123893,1.6258992805755397
39.2,22.6,16.6,16.4808,4.0,78.0,0.56,,,0.87,,,,,84.7,55.6,geotechnical_data_7.xlsx,,47.7,0.74,0.92,,100.0,,,,55.6,44.4,0.0,,,1.5120481927710843,-0.5120481927710843,0.42346938775510207,1.7345132743362832
40.1,22.1,18.0,16.677,4.0,85.0,0.5,,,0.82,,,,,80.4,47.8,geotechnical_data_7.xlsx,,48.7,0.77,1.1,,100.0,,,,47.8,52.2,0.0,,,1.4777777777777779,-0.47777777777777786,0.44887780548628425,1.8144796380090498
33.9,22.1,11.8,18.050400000000003,11.0,54.6,0.48,,,0.67,,,,,71.8,35.0,geotechnical_data_7.xlsx,,38.0,0.53,0.77,,99.5,,,,35.0,64.5,0.5,,,1.3474576271186438,-0.34745762711864414,0.3480825958702065,1.5339366515837103
33.1,20.9,12.2,18.2466,12.0,56.8,0.46,,,0.63,,,,,70.6,34.8,geotechnical_data_7.xlsx,17.0,37.4,0.48,0.71,,99.2,,,,34.8,64.4,0.7999999999999972,,,1.3524590163934427,-0.3524590163934424,0.3685800604229607,1.583732057416268
30.1,17.5,12.6,18.4428,14.0,61.4,0.4,,,0.58,,,,,68.1,33.4,geotechnical_data_7.xlsx,,34.8,0.46,0.73,,98.7,,,,33.4,65.30000000000001,1.2999999999999972,,,1.3730158730158728,-0.3730158730158727,0.41860465116279066,1.72
25.0,15.0,10.0,18.5409,15.0,40.5,0.37,,,0.55,,,,,65.4,24.0,geotechnical_data_7.xlsx,,31.4,0.43,0.68,,98.5,,,,24.0,74.5,1.5,,,1.64,-0.6399999999999999,0.4,1.6666666666666667
23.6,14.7,8.9,18.7371,17.0,38.4,0.34,,,0.48,,,,,61.2,16.4,geotechnical_data_7.xlsx,,26.1,0.39,0.57,,99.4,,,,16.4,83.0,0.5999999999999943,,,1.2808988764044946,-0.28089887640449435,0.3771186440677966,1.6054421768707485
40.1,23.3,16.8,16.2846,4.0,76.0,0.58,,,0.88,,,,,86.4,57.6,geotechnical_data_7.xlsx,,48.0,0.76,0.95,,100.0,,,,57.6,42.4,0.0,,,1.4702380952380951,-0.4702380952380951,0.41895261845386533,1.7210300429184548
38.9,21.6,17.3,16.5789,,,0.54,,,0.8,,,,,82.6,52.8,geotechnical_data_7.xlsx,22.0,48.5,0.72,1.07,,100.0,,,,52.8,47.2,0.0,,,1.5549132947976878,-0.5549132947976879,0.44473007712082263,1.8009259259259258
41.2,23.3,17.9,16.677,4.0,82.6,0.49,,,0.82,,,,,81.7,50.1,geotechnical_data_7.xlsx,,48.7,0.75,1.11,,100.0,,,,50.1,49.9,0.0,,,1.4189944134078214,-0.4189944134078213,0.43446601941747565,1.7682403433476395
32.8,21.4,11.4,18.148500000000002,10.0,54.6,0.45,,,0.69,,,,,72.8,34.8,geotechnical_data_7.xlsx,,37.6,0.51,0.81,,99.6,,,,34.8,64.8,0.4000000000000057,,,1.4210526315789476,-0.42105263157894773,0.34756097560975613,1.5327102803738317
32.1,20.1,12.0,18.344700000000003,12.0,57.8,0.43,,,0.62,,,,,70.4,33.5,geotechnical_data_7.xlsx,20.0,37.0,0.49,0.78,,99.3,,,,33.5,65.8,0.7000000000000028,,,1.4083333333333332,-0.4083333333333332,0.37383177570093457,1.5970149253731343
30.1,17.7,12.4,18.5409,14.0,60.6,0.39,,,0.59,,,,,69.5,32.4,geotechnical_data_7.xlsx,,35.6,0.47,0.71,,98.8,,,,32.4,66.4,1.2000000000000028,,,1.4435483870967742,-0.4435483870967742,0.4119601328903654,1.7005649717514126
26.6,17.0,9.6,18.639,15.0,45.2,0.36,,,0.54,,,,,65.1,31.4,geotechnical_data_7.xlsx,,32.4,0.42,0.69,,98.5,,,,31.4,67.1,1.5,,,1.6041666666666665,-0.6041666666666664,0.3609022556390977,1.5647058823529412
24.6,15.4,9.2,18.7371,16.0,41.7,0.31,,,0.47,,,,,62.4,29.6,geotechnical_data_7.xlsx,27.0,30.1,0.38,0.61,,98.3,,,,29.6,68.69999999999999,1.7000000000000028,,,1.597826086956522,-0.5978260869565218,0.3739837398373983,1.5974025974025974
41.2,24.6,16.6,16.1865,4.0,71.0,0.59,,,0.84,,,,,78.1,48.4,geotechnical_data_7.xlsx,23.0,46.5,0.72,1.07,,100.0,,,,48.4,51.6,0.0,,,1.3192771084337347,-0.31927710843373475,0.4029126213592233,1.6747967479674797
38.2,21.2,17.0,16.4808,4.0,73.0,0.62,,,0.89,,,,,80.6,51.4,geotechnical_data_7.xlsx,,45.7,0.78,1.15,,99.9,,,,51.4,48.50000000000001,0.09999999999999432,,,1.4411764705882355,-0.4411764705882353,0.4450261780104712,1.8018867924528303
32.7,21.3,11.4,18.148500000000002,10.0,55.5,0.45,,,0.69,,,,,72.8,34.8,geotechnical_data_7.xlsx,,37.6,0.51,0.82,,99.6,,,,34.8,64.8,0.4000000000000057,,,1.4298245614035088,-0.4298245614035086,0.34862385321100914,1.535211267605634
32.2,20.4,11.8,18.344700000000003,12.0,57.7,0.43,,,0.62,,,,,70.4,33.6,geotechnical_data_7.xlsx,20.0,37.5,0.49,0.78,,99.3,,,,33.6,65.69999999999999,0.7000000000000028,,,1.4491525423728815,-0.4491525423728811,0.3664596273291925,1.5784313725490198
30.3,18.1,12.2,18.5409,14.0,60.4,0.39,,,0.59,,,,,69.5,32.7,geotechnical_data_7.xlsx,20.0,35.4,0.47,0.72,,98.8,,,,32.7,66.1,1.2000000000000028,,,1.4180327868852458,-0.41803278688524576,0.40264026402640263,1.6740331491712706
26.6,17.0,9.6,18.639,15.0,45.2,0.36,,,0.54,,,,,65.1,31.4,geotechnical_data_7.xlsx,,32.3,0.42,0.69,,98.5,,,,31.4,67.1,1.5,,,1.5937499999999998,-0.5937499999999996,0.3609022556390977,1.5647058823529412
24.6,15.4,9.2,18.7371,16.0,41.7,0.31,,,0.47,,,,,62.4,29.6,geotechnical_data_7.xlsx,26.0,31.2,0.38,0.61,,98.3,,,,29.6,68.69999999999999,1.7000000000000028,,,1.7173913043478262,-0.7173913043478259,0.3739837398373983,1.5974025974025974
39.2,22.6,16.6,16.4808,4.0,78.4,0.56,,,0.87,,,,,84.7,55.6,geotechnical_data_7.xlsx,,47.7,0.74,0.92,,100.0,,,,55.6,44.4,0.0,,,1.5120481927710843,-0.5120481927710843,0.42346938775510207,1.7345132743362832
40.1,22.1,18.0,16.677,4.0,82.0,0.5,,,0.82,,,,,80.4,48.9,geotechnical_data_7.xlsx,,48.7,0.77,1.1,,100.0,,,,48.9,51.1,0.0,,,1.4777777777777779,-0.47777777777777786,0.44887780548628425,1.8144796380090498
34.6,23.1,11.5,18.050400000000003,11.0,52.6,0.47,,,0.65,,,,,70.5,34.7,geotechnical_data_7.xlsx,,38.4,0.51,0.8,,99.5,,,,34.7,64.8,0.5,,,1.3304347826086953,-0.3304347826086954,0.33236994219653176,1.4978354978354977
32.1,20.1,12.0,,12.0,54.8,0.45,,,0.61,,,,,67.6,34.6,geotechnical_data_7.xlsx,20.0,37.7,0.49,0.77,,99.3,,,,34.6,64.69999999999999,0.7000000000000028,,,1.4666666666666668,-0.4666666666666668,0.37383177570093457,1.5970149253731343
29.1,16.8,12.3,18.344700000000003,14.0,60.4,0.39,,,0.57,,,,,66.5,33.7,geotechnical_data_7.xlsx,20.0,36.2,0.47,0.72,,98.7,,,,33.7,65.0,1.2999999999999972,,,1.5772357723577237,-0.5772357723577236,0.422680412371134,1.7321428571428572
24.6,15.0,9.6,18.639,15.0,40.5,0.35,,,0.52,,,,,60.1,30.5,geotechnical_data_7.xlsx,,28.4,0.4,0.69,,98.6,,,,30.5,68.1,1.4000000000000057,,,1.3958333333333333,-0.39583333333333304,0.39024390243902435,1.6400000000000001
23.2,14.5,8.7,18.8352,16.0,37.2,0.3,,,0.45,,,,,55.6,28.9,geotechnical_data_7.xlsx,,26.1,0.38,0.54,,97.8,,,,28.9,68.9,2.200000000000003,,,1.3333333333333337,-0.3333333333333336,0.375,1.5999999999999999
32.7,21.3,11.4,18.148500000000002,10.0,55.5,0.45,,,0.69,,,,,72.8,34.8,geotechnical_data_7.xlsx,,37.4,0.51,0.82,,99.6,,,,34.8,64.8,0.4000000000000057,,,1.4122807017543857,-0.4122807017543856,0.34862385321100914,1.535211267605634
24.6,15.4,9.2,18.7371,16.0,41.7,0.31,,,0.47,,,,,62.4,29.6,geotechnical_data_7.xlsx,,30.1,0.38,0.61,,98.3,,,,29.6,68.69999999999999,1.7000000000000028,,,1.597826086956522,-0.5978260869565218,0.3739837398373983,1.5974025974025974
25.7,16.3,9.4,18.2466,15.0,29.5,0.25,,,0.4,,,,,61.5,29.1,geotechnical_data_7.xlsx,34.0,25.0,0.32,0.49,,98.2,,,,29.1,69.1,1.7999999999999972,,,0.9255319148936169,0.0744680851063829,0.36575875486381326,1.576687116564417
22.0,12.8,9.2,18.148500000000002,15.0,28.2,0.19,,,0.38,,,,,59.4,28.5,geotechnical_data_7.xlsx,,24.5,0.29,0.45,,98.6,,,,28.5,70.1,1.4000000000000057,,,1.2717391304347827,-0.27173913043478265,0.41818181818181815,1.71875
34.6,23.0,11.6,18.050400000000003,11.0,53.5,0.47,,,0.65,,,,,70.2,34.9,geotechnical_data_7.xlsx,,37.7,0.5,0.8,,99.4,,,,34.9,64.5,0.5999999999999943,,,1.2672413793103452,-0.267241379310345,0.3352601156069364,1.5043478260869565
33.0,21.0,12.0,,12.0,54.3,0.45,,,0.61,,,,,68.2,33.8,geotechnical_data_7.xlsx,20.0,37.5,0.49,0.72,,99.2,,,,33.8,65.4,0.7999999999999972,,,1.375,-0.375,0.36363636363636365,1.5714285714285714
29.1,16.9,12.2,18.344700000000003,14.0,60.4,0.39,,,0.57,,,,,64.5,33.5,geotechnical_data_7.xlsx,,33.3,0.47,0.77,,98.5,,,,33.5,65.0,1.5,,,1.3442622950819672,-0.3442622950819669,0.4192439862542955,1.7218934911242605
24.2,14.8,9.4,18.639,15.0,40.5,0.35,,,0.52,,,,,60.2,30.8,geotechnical_data_7.xlsx,,27.3,0.41,0.69,,98.6,,,,30.8,67.8,1.4000000000000057,,,1.3297872340425532,-0.32978723404255333,0.38842975206611574,1.635135135135135
23.1,14.3,8.8,18.8352,16.0,38.1,0.32,,,0.45,,,,,56.7,28.6,geotechnical_data_7.xlsx,23.0,25.1,0.39,0.56,,97.9,,,,28.6,69.30000000000001,2.0999999999999943,,,1.2272727272727273,-0.22727272727272727,0.380952380952381,1.6153846153846154
39.2,22.5,16.7,16.4808,4.0,78.0,0.56,,,0.87,,,,,84.7,55.3,geotechnical_data_7.xlsx,,47.8,0.74,0.92,,100.0,,,,55.3,44.7,0.0,,,1.5149700598802394,-0.5149700598802393,0.42602040816326525,1.7422222222222223
40.1,22.0,18.1,16.677,4.0,85.0,0.5,,,0.83,,,,,80.8,48.3,geotechnical_data_7.xlsx,,48.6,0.77,1.1,,100.0,,,,48.3,51.7,0.0,,,1.4696132596685083,-0.46961325966850825,0.45137157107231923,1.8227272727272728
35.1,20.9,14.2,14.0283,4.0,51.2,0.61,,,0.89,,,,,85.0,42.0,geotechnical_data_8.xlsx,,,0.72,1.25,,100.0,,,,42.0,58.0,0.0,,,,,0.4045584045584045,1.6794258373205744
34.7,20.1,14.6,14.1264,4.0,48.4,0.63,,,0.9,,,,,84.0,44.0,geotechnical_data_8.xlsx,,,0.73,1.24,,100.0,,,,44.0,56.0,0.0,,,,,0.42074927953890484,1.7263681592039801
33.8,18.7,15.1,14.5188,4.0,47.1,0.65,,,0.92,,,,,86.0,47.0,geotechnical_data_8.xlsx,,,0.75,1.23,,100.0,,,,47.0,53.0,0.0,,,,,0.4467455621301775,1.8074866310160427
20.1,8.7,11.4,18.5409,15.0,42.6,0.31,,,0.59,,,,,64.0,25.0,geotechnical_data_8.xlsx,,,0.42,0.73,,96.0,,,,25.0,71.0,4.0,,,,,0.5671641791044776,2.3103448275862073
21.2,10.1,11.1,18.2466,15.0,42.3,0.34,,,0.61,,,,,62.0,22.0,geotechnical_data_8.xlsx,,,0.46,0.76,,94.0,,,,22.0,72.0,6.0,,,,,0.5235849056603774,2.099009900990099
22.0,9.8,12.2,17.7561,12.0,33.8,0.32,,,0.54,,,,,76.0,31.0,geotechnical_data_8.xlsx,,,0.41,0.61,,100.0,,,,31.0,69.0,0.0,,,,,0.5545454545454546,2.2448979591836733
21.7,9.1,12.6,17.854200000000002,12.0,34.1,0.35,,,0.57,,,,,78.0,32.0,geotechnical_data_8.xlsx,,,0.44,0.77,,100.0,,,,32.0,68.0,0.0,,,,,0.5806451612903226,2.3846153846153846
22.9,9.9,13.0,17.9523,12.0,35.8,0.38,,,0.6,,,,,82.0,35.0,geotechnical_data_8.xlsx,,,0.49,0.82,,100.0,,,,35.0,65.0,0.0,,,,,0.5676855895196506,2.3131313131313127
18.1,8.3,9.8,18.8352,15.0,25.1,0.21,,,0.51,,,,,70.0,18.0,geotechnical_data_8.xlsx,,,0.39,0.61,,99.0,,,,18.0,81.0,1.0,,,,,0.5414364640883977,2.180722891566265
17.4,9.0,8.4,19.1295,15.0,25.6,0.24,,,0.56,,,,,65.0,21.0,geotechnical_data_8.xlsx,,,0.42,0.67,,100.0,,,,21.0,79.0,0.0,,,,,0.48275862068965525,1.9333333333333331
