model,samples,features,group_folds,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean
ExtraTrees,255,23,5,0.41094213818628217,0.4115715109829726,3.0705126903517943,3.774169524877496
RandomForest,255,23,5,0.39911820809511894,0.3476707080007934,3.0784710608679844,3.8681195505659574
XGBoost,255,23,5,0.35740279166751165,0.33572721767677005,3.1570681790677733,3.9312184127564636
