Model,CV_RMSE_Mean,CV_RMSE_STD,CV_MAE_Mean,CV_R2_Mean,OOF_RMSE,OOF_MAE,OOF_R2
Extra Trees,6.504287771261561,1.828157291451358,4.074699625856908,0.8146851639952924,6.763928095520932,4.077262769037125,0.8261788940761454
XGBoost,6.747036889390143,1.89901878289259,4.312666575104718,0.7997463979372709,7.015988736994518,4.3173698563932845,0.8129824725944207
Gradient Boosting,7.007406382703001,1.9226662395691805,4.56120613155365,0.7865480661574388,7.2744587874908815,4.564826950660202,0.7989491469988002
Random Forest,7.461978497216154,1.8102246384639338,4.817047079026112,0.7609219862809014,7.685958875200715,4.820226468389051,0.7755597947314214
Ridge Regression,11.747867284680002,1.2193852586334653,9.09583910671753,0.4454665547930891,11.823017217415625,9.10240022933279,0.46891848127324665
Linear Regression,11.78604743631436,1.258219244564081,9.024299691134043,0.4404132160459642,11.864149419814806,9.030600873529805,0.4652167948683953
