LL,PL,PI,Sat_Unit_Wt_kN_m3,Mv_50kPa,Cv_50kPa,Grain_CoarsePassing_pct,Fines_Content_pct,Sand_Fraction_pct,Gravel_Fraction_pct,Phi_deg,Cu_kPa
28.5,17.0,11.5,18.0,0.38,0.67,100.0,39.0,61.0,0.0,6.0,23.0
30.0,18.0,12.0,18.3,0.37,0.75,97.0,31.0,66.0,3.0,8.0,29.8
31.4,18.0,13.4,18.4,0.43,0.75,100.0,41.0,59.0,0.0,8.0,32.0
28.2,13.7,14.5,18.6,0.48,0.8,94.0,31.0,63.0,6.0,10.0,34.6
20.4,9.9,10.5,19.8,0.21,0.51,92.0,27.0,65.0,8.0,15.0,21.0
15.2,6.7,8.5,20.5,0.24,0.47,87.0,12.0,75.0,13.0,17.0,19.4
28.0,16.2,11.8,18.2,0.36,0.69,100.0,38.0,62.0,0.0,6.0,23.5
29.7,17.5,12.2,18.3,0.39,0.74,100.0,31.0,69.0,0.0,8.0,29.4
32.7,19.5,13.2,18.4,0.42,0.76,100.0,39.0,61.0,0.0,8.0,32.0
28.1,14.0,14.1,18.6,0.46,0.8,94.0,29.0,65.0,6.0,10.0,35.2
18.4,7.9,10.5,19.8,0.21,0.51,92.0,26.0,66.0,8.0,15.0,24.0
15.2,6.7,8.5,20.5,0.24,0.48,87.0,16.0,71.0,13.0,16.0,22.6
28.7,16.8,11.9,18.1,0.37,0.69,100.0,43.0,57.0,0.0,6.0,23.5
29.4,17.2,12.2,18.3,0.4,0.74,99.0,31.0,68.0,1.0,8.0,28.2
31.4,18.3,13.1,18.5,0.43,0.72,100.0,41.0,59.0,0.0,8.0,32.2
28.6,15.1,13.5,18.6,0.48,0.81,94.0,32.0,62.0,6.0,10.0,34.8
19.1,9.0,10.1,19.6,0.21,0.42,95.0,30.0,65.0,5.0,15.0,21.0
16.2,6.7,9.5,20.1,0.24,0.44,88.0,14.0,74.0,12.0,17.0,20.0
35.2,23.2,12.0,18.7,0.74,1.2,100.0,40.1,59.9,0.0,6.0,38.4
39.5,20.6,18.9,19.5,0.71,0.91,100.0,32.4,67.6,0.0,8.0,47.0
39.8,20.8,19.0,19.5,0.64,0.95,100.0,28.7,71.3,0.0,8.0,47.5
49.6,30.2,19.4,19.7,0.58,0.81,99.7,32.4,67.30000000000001,0.29999999999999716,11.0,61.0
42.4,20.9,21.5,19.9,0.41,0.87,97.4,34.9,62.50000000000001,2.5999999999999943,9.0,40.0
44.0,24.3,19.7,20.1,0.37,0.51,94.1,22.4,71.69999999999999,5.900000000000006,7.0,52.4
42.6,23.1,19.5,20.5,0.32,0.65,92.8,18.6,74.19999999999999,7.200000000000003,8.0,54.6
87.4,36.0,51.4,19.7,0.64,1.07,99.6,74.6,25.0,0.4000000000000057,11.0,58.0
86.7,34.0,52.7,19.9,0.72,1.23,100.0,84.3,15.700000000000003,0.0,12.0,63.0
34.6,21.2,13.4,18.8,0.75,1.2,100.0,41.3,58.7,0.0,6.0,40.2
37.4,20.4,17.0,19.5,0.71,0.91,100.0,35.2,64.8,0.0,8.0,46.5
38.2,20.7,17.5,19.7,0.64,0.95,99.8,33.8,66.0,0.20000000000000284,8.0,47.2
42.1,22.7,19.4,19.8,0.58,0.81,99.8,32.2,67.6,0.20000000000000284,11.0,58.2
43.1,21.6,21.5,19.8,0.42,0.88,97.4,35.0,62.400000000000006,2.5999999999999943,10.0,46.5
42.5,22.8,19.7,20.1,0.37,0.51,94.1,22.4,71.69999999999999,5.900000000000006,7.0,52.4
41.6,21.8,19.8,20.3,0.33,0.65,92.7,19.2,73.5,7.299999999999997,8.0,53.8
84.1,32.7,51.4,19.9,0.61,1.05,99.8,73.6,26.200000000000003,0.20000000000000284,11.0,59.6
85.0,32.3,52.7,19.8,0.69,1.22,100.0,80.4,19.599999999999994,0.0,12.0,62.8
34.4,22.0,12.4,14.4,0.74,1.2,99.7,36.1,63.6,0.29999999999999716,6.0,38.4
39.5,20.6,18.9,19.5,0.71,0.91,99.6,32.1,67.5,0.4000000000000057,8.0,46.4
39.8,20.8,19.0,19.5,0.64,0.95,99.4,32.6,66.80000000000001,0.5999999999999943,8.0,47.2
43.5,23.4,20.1,19.8,0.58,0.81,99.8,34.6,65.19999999999999,0.20000000000000284,10.0,54.8
33.2,11.7,21.5,19.9,0.41,0.87,99.5,33.6,65.9,0.5,12.0,40.0
44.0,21.2,22.8,19.8,0.37,0.51,85.0,31.3,53.7,15.0,7.0,52.4
87.5,35.7,51.8,19.5,0.64,1.05,98.4,87.8,10.600000000000009,1.5999999999999943,11.0,58.0
85.0,28.2,56.8,19.7,0.7,1.23,98.2,83.2,15.0,1.7999999999999972,12.0,63.0
43.2,24.8,18.4,18.5,0.72,1.22,100.0,38.4,61.6,0.0,6.0,39.0
42.6,18.8,23.8,19.6,0.71,0.91,100.0,32.1,67.9,0.0,8.0,47.0
48.0,23.9,24.1,19.7,0.64,0.95,100.0,26.6,73.4,0.0,8.0,47.5
46.4,26.3,20.1,19.8,0.57,0.81,99.7,32.8,66.9,0.29999999999999716,11.0,56.1
38.1,19.7,18.4,20.1,0.41,0.87,97.4,35.0,62.400000000000006,2.5999999999999943,9.0,62.4
33.0,19.2,13.8,20.1,0.37,0.51,90.4,19.2,71.2,9.599999999999994,8.0,52.8
34.8,22.1,12.7,20.5,0.33,0.65,89.3,16.4,72.9,10.700000000000003,8.0,53.1
84.0,34.2,49.8,19.6,0.64,1.03,99.3,71.4,27.89999999999999,0.7000000000000028,12.0,63.0
80.0,33.9,46.1,19.9,0.72,1.24,100.0,87.3,12.700000000000003,0.0,12.0,64.0
39.6,24.4,15.2,18.5,0.72,1.15,99.5,36.5,63.0,0.5,6.0,38.2
40.1,23.0,17.1,19.4,0.7,0.93,98.8,27.8,71.0,1.2000000000000028,8.0,47.0
42.4,25.0,17.4,19.5,0.63,0.98,99.4,32.6,66.80000000000001,0.5999999999999943,8.0,47.2
45.2,25.6,19.6,19.8,0.46,0.81,96.7,32.8,63.900000000000006,3.299999999999997,11.0,58.6
50.1,26.4,23.7,19.8,0.4,0.82,99.3,33.8,65.5,0.7000000000000028,9.0,63.0
55.0,25.1,29.9,19.9,0.35,0.54,85.0,31.3,53.7,15.0,7.0,53.4
93.0,40.6,52.4,19.6,0.67,0.98,96.8,76.9,19.89999999999999,3.200000000000003,11.0,58.0
