LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,Wn_%,Mv_400kPa,Cv_400kPa,SPT_N,CPT_MPa,Grain_2.00mm,Mv_50kPa (m²/MN)x10⁻⁴,Mv_400kPa (m²/MN)x10⁻⁴,Cv_50kPa (m²/yr),Cv_400kPa (m²/yr),Grain_2.00mm (%),Grain_0.425mm (%),Grain_0.075mm (%),Grain_4.75mm,Grain_75um,Grain_4.25um,Grain_2um,is_plastic,LI,qc_est
93.0,40.6,52.4,19.6,11.0,58.0,0.67,,,0.98,,,,,86.3,76.9,geotechnical_data_4.xlsx,97.4,0.79,1.38,302.14,,96.8,,,,,,,,,,,,1,1.0839487796034428,120.856
95.0,38.2,56.8,19.8,12.0,63.0,0.74,,,1.02,,,,,84.4,80.4,geotechnical_data_4.xlsx,98.4,0.88,1.61,,,97.3,,,,,,,,,,,,1,1.0598404957659198,
35.2,23.2,12.0,18.7,6.0,38.4,0.74,,,1.2,,,,,75.1,40.1,geotechnical_data_5.xlsx,47.6,0.62,1.36,,,100.0,,,,,,,,,,,,1,2.033163903008083,
39.5,20.6,18.9,19.5,8.0,47.0,0.71,,,0.91,,,,,72.1,32.4,geotechnical_data_5.xlsx,43.5,0.39,1.1,75.53,,100.0,,,,,,,,,,,,1,1.2115761070842812,30.212000000000003
39.8,20.8,19.0,19.5,8.0,47.5,0.64,,,0.95,,,,,68.4,28.7,geotechnical_data_5.xlsx,42.3,0.68,0.98,103.86,,100.0,,,,,,,,,,,,1,1.1315193937161199,41.544000000000004
49.6,30.2,19.4,19.7,11.0,61.0,0.58,,,0.81,,,,,67.2,32.4,geotechnical_data_5.xlsx,42.6,0.57,0.88,151.07,,99.7,,,,,,,,,,,,1,0.6391423122519458,60.428
42.4,20.9,21.5,19.9,9.0,40.0,0.41,,,0.87,,,,,58.4,34.9,geotechnical_data_5.xlsx,45.7,0.48,0.95,217.16,,97.4,,,,,,,,,,,,1,1.1534347239663272,86.864
44.0,24.3,19.7,20.1,7.0,52.4,0.37,,,0.51,,,,,59.6,22.4,geotechnical_data_5.xlsx,45.6,0.41,0.82,,,94.1,,,,,,,,,,,,1,1.0811633927211817,
42.6,23.1,19.5,20.5,8.0,54.6,0.32,,,0.65,,,,,47.8,18.6,geotechnical_data_5.xlsx,44.8,0.39,0.77,226.6,,92.8,,,,,,,,,,,,1,1.112763448028306,90.64
87.4,36.0,51.4,19.7,11.0,58.0,0.64,,,1.07,,,,,75.8,74.6,geotechnical_data_5.xlsx,89.6,0.75,1.48,321.02,,99.6,,,,,,,,,,,,1,1.0427812688469096,128.408
86.7,34.0,52.7,19.9,12.0,63.0,0.72,,,1.23,,,,,74.2,84.3,geotechnical_data_5.xlsx,89.4,0.96,2.15,,,100.0,,,,,,,,,,,,1,1.0512134494601622,
34.6,21.2,13.4,18.8,6.0,40.2,0.75,,,1.2,,,,,76.4,41.3,geotechnical_data_5.xlsx,48.6,0.63,1.35,,,100.0,,,,,,,,,,,,1,2.044623535557048,
37.4,20.4,17.0,19.5,8.0,46.5,0.71,,,0.91,,,,,72.1,35.2,geotechnical_data_5.xlsx,42.4,0.4,1.08,66.09,,100.0,,,,,,,,,,,,1,1.2940415269690018,26.436000000000003
38.2,20.7,17.5,19.7,8.0,47.2,0.64,,,0.95,,,,,70.4,33.8,geotechnical_data_5.xlsx,42.9,0.68,0.98,84.97,,99.8,,,,,,,,,,,,1,1.2684989429175475,33.988
42.1,22.7,19.4,19.8,11.0,58.2,0.58,,,0.81,,,,,67.2,32.2,geotechnical_data_5.xlsx,43.5,0.58,0.9,113.3,,99.8,,,,,,,,,,,,1,1.07210968506778,45.32
43.1,21.6,21.5,19.8,10.0,46.5,0.42,,,0.88,,,,,58.4,35.0,geotechnical_data_5.xlsx,46.2,0.49,0.96,207.72,,97.4,,,,,,,,,,,,1,1.1441328310311147,83.08800000000001
42.5,22.8,19.7,20.1,7.0,52.4,0.37,,,0.51,,,,,59.6,22.4,geotechnical_data_5.xlsx,43.2,0.41,0.82,,,94.1,,,,,,,,,,,,1,1.0354804324653573,
41.6,21.8,19.8,20.3,8.0,53.8,0.33,,,0.65,,,,,47.8,19.2,geotechnical_data_5.xlsx,42.8,0.39,0.74,226.6,,92.7,,,,,,,,,,,,1,1.0605524973486185,90.64
84.1,32.7,51.4,19.9,11.0,59.6,0.61,,,1.05,,,,,69.6,73.6,geotechnical_data_5.xlsx,85.4,0.74,1.38,302.14,,99.8,,,,,,,,,,,,1,1.0252718818700026,120.856
85.0,32.3,52.7,19.8,12.0,62.8,0.69,,,1.22,,,,,70.1,80.4,geotechnical_data_5.xlsx,85.6,0.95,2.1,,,100.0,,,,,,,,,,,,1,1.011366008235138,
34.4,22.0,12.4,14.4,6.0,38.4,0.74,,,1.2,,,,,67.1,36.1,geotechnical_data_5.xlsx,41.2,0.62,1.36,,,99.7,,,,,,,,,,,,1,1.5482622369163779,
39.5,20.6,18.9,19.5,8.0,46.4,0.71,,,0.91,,,,,66.1,32.1,geotechnical_data_5.xlsx,43.5,0.39,1.05,75.53,,99.6,,,,,,,,,,,,1,1.2115761070842812,30.212000000000003
39.8,20.8,19.0,19.5,8.0,47.2,0.64,,,0.95,,,,,64.7,32.6,geotechnical_data_5.xlsx,42.3,0.68,0.98,103.86,,99.4,,,,,,,,,,,,1,1.1315193937161199,41.544000000000004
43.5,23.4,20.1,19.8,10.0,54.8,0.58,,,0.81,,,,,67.2,34.6,geotechnical_data_5.xlsx,44.5,0.57,0.89,151.07,,99.8,,,,,,,,,,,,1,1.0496990199492562,60.428
33.2,11.7,21.5,19.9,12.0,40.0,0.41,,,0.87,,,,,65.8,33.6,geotechnical_data_5.xlsx,50.0,0.48,0.95,217.16,,99.5,,,,,,,,,,,,1,1.7813124970931582,86.864
44.0,21.2,22.8,19.8,7.0,52.4,0.37,,,0.51,,,,,65.8,31.3,geotechnical_data_5.xlsx,51.8,0.41,0.8,,,85.0,,,,,,,,,,,,1,1.3420464014736193,
87.5,35.7,51.8,19.5,11.0,58.0,0.64,,,1.05,,,,,,87.8,geotechnical_data_5.xlsx,89.6,0.74,1.45,321.02,,98.4,,,,,,,,,,,,1,1.0405204532731027,128.408
85.0,28.2,56.8,19.7,12.0,63.0,0.7,,,1.23,,,,,92.8,83.2,geotechnical_data_5.xlsx,88.4,0.96,2.15,,,98.2,,,,,,,,,,,,1,1.0598404957659198,
43.2,24.8,18.4,18.5,6.0,39.0,0.72,,,1.22,,,,,73.0,38.4,geotechnical_data_5.xlsx,53.4,0.63,1.35,,,100.0,,,,,,,,,,,,1,1.5542633552524319,
42.6,18.8,23.8,19.6,8.0,47.0,0.71,,,0.91,,,,,61.5,32.1,geotechnical_data_5.xlsx,52.4,0.39,1.1,66.09,,100.0,,,,,,,,,,,,1,1.4117053905298094,26.436000000000003
48.0,23.9,24.1,19.7,8.0,47.5,0.64,,,0.95,,,,,67.4,26.6,geotechnical_data_5.xlsx,51.8,0.68,0.98,75.53,,100.0,,,,,,,,,,,,1,1.1576283141778347,30.212000000000003
46.4,26.3,20.1,19.8,11.0,56.1,0.57,,,0.81,,,,,67.4,32.8,geotechnical_data_5.xlsx,50.5,0.57,0.86,94.42,,99.7,,,,,,,,,,,,1,1.2039202029749763,37.768
38.1,19.7,18.4,20.1,9.0,62.4,0.41,,,0.87,,,,,58.1,35.0,geotechnical_data_5.xlsx,46.7,0.48,0.94,198.28,,97.4,,,,,,,,,,,,1,1.467311559154394,79.31200000000001
33.0,19.2,13.8,20.1,8.0,52.8,0.37,,,0.51,,,,,42.6,19.2,geotechnical_data_5.xlsx,45.6,0.41,0.8,,,90.4,,,,,,,,,,,,1,1.9129048619665243,
34.8,22.1,12.7,20.5,8.0,53.1,0.33,,,0.65,,,,,46.8,16.4,geotechnical_data_5.xlsx,38.2,0.4,0.76,217.16,,89.3,,,,,,,,,,,,1,1.26761672309267,86.864
84.0,34.2,49.8,19.6,12.0,63.0,0.64,,,1.03,,,,,77.1,71.4,geotechnical_data_5.xlsx,91.1,0.73,1.42,302.14,,99.3,,,,,,,,,,,,1,1.1425473384068592,120.856
80.0,33.9,46.1,19.9,12.0,64.0,0.72,,,1.24,,,,,95.7,87.3,geotechnical_data_5.xlsx,85.9,0.98,2.2,,,100.0,,,,,,,,,,,,1,1.1279581787813715,
39.6,24.4,15.2,18.5,6.0,38.2,0.72,,,1.15,,,,,67.5,36.5,geotechnical_data_5.xlsx,41.4,0.65,1.34,,,99.5,,,,,,,,,,,,1,1.118347477139662,
40.1,23.0,17.1,19.4,8.0,47.0,0.7,,,0.93,,,,,60.8,27.8,geotechnical_data_5.xlsx,46.0,0.53,1.15,75.54,,98.8,,,,,,,,,,,,1,1.3449505876849306,30.216000000000005
42.4,25.0,17.4,19.5,8.0,47.2,0.63,,,0.98,,,,,64.7,32.6,geotechnical_data_5.xlsx,43.7,0.64,0.97,94.42,,99.4,,,,,,,,,,,,1,1.0746508821332108,37.768
45.2,25.6,19.6,19.8,11.0,58.6,0.46,,,0.81,,,,,75.1,32.8,geotechnical_data_5.xlsx,48.5,0.54,0.89,122.75,,96.7,,,,,,,,,,,,1,1.1683077394010508,49.1
50.1,26.4,23.7,19.8,9.0,63.0,0.4,,,0.82,,,,,78.1,33.8,geotechnical_data_5.xlsx,56.4,0.48,0.92,188.84,,99.3,,,,,,,,,,,,1,1.2657693768195435,75.536
55.0,25.1,29.9,19.9,7.0,53.4,0.35,,,0.54,,,,,65.8,31.3,geotechnical_data_5.xlsx,56.9,0.41,0.8,,,85.0,,,,,,,,,,,,1,1.0635095816193438,
93.0,40.6,52.4,19.6,11.0,58.0,0.67,,,0.98,,,,,86.3,76.9,geotechnical_data_5.xlsx,97.4,0.79,1.38,302.14,,96.8,,,,,,,,,,,,1,1.0839487796034428,120.856
95.0,38.2,56.8,19.8,12.0,63.0,0.74,,,1.02,,,,,84.4,80.4,geotechnical_data_5.xlsx,98.4,0.88,1.61,,,97.3,,,,,,,,,,,,1,1.0598404957659198,
39.0,18.5,20.5,1.8,6.0,62.5,0.24,,0.13,2.26,,3.96,141.62,96.7,74.6,47.5,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
37.2,19.0,18.2,1.8,8.0,63.4,0.21,,0.12,2.09,,3.13,,96.5,73.8,45.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
36.7,20.5,16.2,1.8,10.0,64.2,0.2,,0.1,1.78,,2.75,226.6,96.0,72.8,41.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
30.0,19.6,10.4,1.85,15.0,65.0,0.19,,0.09,1.65,,2.4,254.93,98.5,72.4,36.1,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
26.2,19.2,7.0,1.9,17.0,68.6,0.13,,0.07,1.45,,1.8,,98.0,73.4,25.8,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
49.6,28.6,21.0,1.8,5.0,52.6,0.3,,0.19,2.41,,4.12,132.88,99.2,85.0,48.7,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
51.0,25.9,25.1,1.8,6.0,61.4,0.28,,0.14,2.3,,3.84,141.62,98.7,72.5,44.7,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
47.4,24.8,22.6,1.81,10.0,63.6,0.21,,0.11,1.93,,2.7,198.6,97.8,71.5,42.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
36.0,19.9,16.1,1.84,15.0,64.6,0.2,,0.1,1.72,,2.36,217.16,96.3,68.1,36.7,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
38.7,24.5,14.2,1.9,15.0,66.4,0.17,,0.08,1.36,,1.98,,96.1,65.6,35.0,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
46.0,24.6,21.4,1.8,12.0,65.8,0.31,,0.17,1.24,,1.4,254.93,97.7,76.5,53.1,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
43.2,23.1,20.1,1.82,12.0,70.4,0.42,,0.24,1.06,,1.25,,97.3,75.5,50.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
51.0,26.0,25.0,1.81,8.0,63.4,0.29,,0.14,2.31,,3.8,151.07,98.0,76.4,48.0,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
38.9,20.3,18.6,1.84,10.0,64.8,0.21,,0.11,1.96,,2.75,207.72,97.6,70.1,39.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
26.1,19.1,7.0,1.87,15.0,63.4,0.19,,0.08,1.72,,2.46,254.93,97.8,71.5,31.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
27.3,18.9,8.4,1.92,18.0,67.2,0.17,,0.06,1.39,,1.93,,96.0,69.1,25.0,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
42.5,23.0,19.5,1.8,8.0,62.0,0.24,,0.16,2.18,,3.91,151.07,98.7,74.8,45.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
41.7,22.7,19.0,1.81,9.0,,0.23,,0.15,1.94,,3.25,,98.6,73.1,43.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
40.1,21.7,18.4,1.82,10.0,64.6,0.2,,0.14,1.87,,2.88,188.84,98.5,72.6,41.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
38.1,24.4,13.7,1.85,15.0,67.0,0.18,,0.13,1.54,,2.36,254.93,99.0,75.4,39.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
35.4,23.6,11.8,1.87,17.0,68.4,0.15,,0.11,1.21,,1.7,,98.5,72.5,36.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
40.1,20.0,20.1,1.92,10.0,61.4,0.2,,0.12,1.16,,1.52,302.14,98.4,77.4,53.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
41.8,19.0,22.8,1.9,12.0,69.5,0.17,,0.07,0.93,,1.28,,98.2,75.8,49.5,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
43.6,27.2,16.4,1.81,8.0,63.5,0.27,,0.16,2.28,,3.67,160.51,98.4,74.5,53.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
38.4,23.0,15.4,1.82,12.0,66.4,0.24,,0.13,2.19,,2.86,207.72,98.0,72.5,47.6,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
30.4,21.0,9.4,1.92,14.0,67.0,0.21,,0.11,1.84,,2.14,245.49,97.8,70.1,39.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
35.4,28.0,7.4,1.9,15.0,68.2,0.17,,0.08,1.52,,1.96,,97.6,69.5,37.8,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
39.6,23.6,16.0,1.82,10.0,70.0,0.18,,0.15,1.23,,1.8,273.81,97.1,74.1,66.4,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
41.1,21.1,20.0,1.84,12.0,71.7,0.16,,0.12,0.97,,1.23,,96.5,71.4,60.1,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
47.6,26.6,21.0,1.79,6.0,58.8,0.32,,0.16,2.39,,3.98,127.46,98.8,78.3,48.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
49.1,23.0,26.1,1.8,8.0,60.5,0.28,,0.15,2.14,,3.78,160.5,98.5,77.4,46.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
40.1,20.3,19.8,1.82,12.0,64.5,0.22,,0.12,1.88,,2.98,198.28,98.3,74.1,41.2,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
36.0,20.0,16.0,1.87,15.0,65.0,0.2,,0.1,1.72,,2.61,226.6,98.2,71.6,38.6,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
28.0,11.9,16.1,1.92,16.0,69.0,0.14,,0.07,1.24,,1.82,264.37,97.5,69.5,27.6,geotechnical_data_6.xlsx,,,,,,,,,,,,,,,,,,1,,
34.6,23.1,11.5,1.84,11.0,52.6,0.47,,,0.65,,,,,70.6,34.9,geotechnical_data_7.xlsx,38.4,0.51,0.8,,,99.4,,,,,,,,,,,,1,1.3303191026867227,
32.1,20.1,12.0,,12.0,54.8,0.45,,,0.61,,,,,67.6,34.5,geotechnical_data_7.xlsx,37.4,0.49,0.72,25.0,,99.0,,,,,,,,,,,,1,1.4415465377885175,10.0
29.1,16.8,12.3,1.87,14.0,60.4,0.39,,,0.57,,,,,64.7,33.7,geotechnical_data_7.xlsx,33.6,0.47,0.7,,,98.7,,,,,,,,,,,,1,1.365742622551012,
24.6,15.0,9.6,1.9,15.0,40.5,0.35,,,0.52,,,,,63.1,21.2,geotechnical_data_7.xlsx,28.4,0.4,0.69,,,98.4,,,,,,,,,,,,1,1.3956879491719612,
22.6,13.9,8.7,1.92,16.0,37.2,0.3,,,0.45,,,,,59.7,18.5,geotechnical_data_7.xlsx,25.1,0.38,0.54,21.0,,99.2,,,,,,,,,,,,1,1.2872083668543848,8.4
39.2,22.6,16.6,1.68,4.0,78.0,0.56,,,0.87,,,,,84.7,55.6,geotechnical_data_7.xlsx,47.7,0.74,0.92,,,100.0,,,,,,,,,,,,1,1.5119571110174084,
40.1,22.1,18.0,1.7,4.0,85.0,0.5,,,0.82,,,,,80.4,47.8,geotechnical_data_7.xlsx,48.7,0.77,1.1,,,100.0,,,,,,,,,,,,1,1.4776956835731347,
33.9,22.1,11.8,1.84,11.0,54.6,0.48,,,0.67,,,,,71.8,35.0,geotechnical_data_7.xlsx,38.0,0.53,0.77,,,99.5,,,,,,,,,,,,1,1.3473434454707227,
33.1,20.9,12.2,1.86,12.0,56.8,0.46,,,0.63,,,,,70.6,34.8,geotechnical_data_7.xlsx,37.4,0.48,0.71,17.0,,99.2,,,,,,,,,,,,1,1.352348168182936,6.800000000000001
30.1,17.5,12.6,1.88,14.0,61.4,0.4,,,0.58,,,,,68.1,33.4,geotechnical_data_7.xlsx,34.8,0.46,0.73,,,98.7,,,,,,,,,,,,1,1.3729069121498292,
25.0,15.0,10.0,1.89,15.0,40.5,0.37,,,0.55,,,,,65.4,24.0,geotechnical_data_7.xlsx,31.4,0.43,0.68,,,98.5,,,,,,,,,,,,1,1.63983601639836,
23.6,14.7,8.9,1.91,17.0,38.4,0.34,,,0.48,,,,,61.2,16.4,geotechnical_data_7.xlsx,26.1,0.39,0.57,,,99.4,,,,,,,,,,,,1,1.2807549713515338,
40.1,23.3,16.8,1.66,4.0,76.0,0.58,,,0.88,,,,,86.4,57.6,geotechnical_data_7.xlsx,48.0,0.76,0.95,,,100.0,,,,,,,,,,,,1,1.4701505862746262,
38.9,21.6,17.3,1.69,,,0.54,,,0.8,,,,,82.6,52.8,geotechnical_data_7.xlsx,48.5,0.72,1.07,22.0,,100.0,,,,,,,,,,,,1,1.554823420611525,8.8
41.2,23.3,17.9,1.7,4.0,82.6,0.49,,,0.82,,,,,81.7,50.1,geotechnical_data_7.xlsx,48.7,0.75,1.11,,,100.0,,,,,,,,,,,,1,1.4189151444053407,
32.8,21.4,11.4,1.85,10.0,54.6,0.45,,,0.69,,,,,72.8,34.8,geotechnical_data_7.xlsx,37.6,0.51,0.81,,,99.6,,,,,,,,,,,,1,1.420927988772915,
32.1,20.1,12.0,1.87,12.0,57.8,0.43,,,0.62,,,,,70.4,33.5,geotechnical_data_7.xlsx,37.0,0.49,0.78,20.0,,99.3,,,,,,,,,,,,1,1.4082159820014999,8.0
30.1,17.7,12.4,1.89,14.0,60.6,0.39,,,0.59,,,,,69.5,32.4,geotechnical_data_7.xlsx,35.6,0.47,0.71,,,98.8,,,,,,,,,,,,1,1.4434319812918315,
26.6,17.0,9.6,1.9,15.0,45.2,0.36,,,0.54,,,,,65.1,31.4,geotechnical_data_7.xlsx,32.4,0.42,0.69,,,98.5,,,,,,,,,,,,1,1.6039995833767315,
24.6,15.4,9.2,1.91,16.0,41.7,0.31,,,0.47,,,,,62.4,29.6,geotechnical_data_7.xlsx,30.1,0.38,0.61,27.0,,98.3,,,,,,,,,,,,1,1.5976524290837957,10.8
41.2,24.6,16.6,1.65,4.0,71.0,0.59,,,0.84,,,,,78.1,48.4,geotechnical_data_7.xlsx,46.5,0.72,1.07,23.0,,100.0,,,,,,,,,,,,1,1.3191976386964637,9.200000000000001
38.2,21.2,17.0,1.68,4.0,73.0,0.62,,,0.89,,,,,80.6,51.4,geotechnical_data_7.xlsx,45.7,0.78,1.15,,,99.9,,,,,,,,,,,,1,1.4410917004882067,
32.7,21.3,11.4,1.85,10.0,55.5,0.45,,,0.69,,,,,72.8,34.8,geotechnical_data_7.xlsx,37.6,0.51,0.82,,,99.6,,,,,,,,,,,,1,1.429699149197439,
32.2,20.4,11.8,1.87,12.0,57.7,0.43,,,0.62,,,,,70.4,33.6,geotechnical_data_7.xlsx,37.5,0.49,0.78,20.0,,99.3,,,,,,,,,,,,1,1.4490297432420982,8.0
30.3,18.1,12.2,1.89,14.0,60.4,0.39,,,0.59,,,,,69.5,32.7,geotechnical_data_7.xlsx,35.4,0.47,0.72,20.0,,98.8,,,,,,,,,,,,1,1.4179165642160478,8.0
26.6,17.0,9.6,1.9,15.0,45.2,0.36,,,0.54,,,,,65.1,31.4,geotechnical_data_7.xlsx,32.3,0.42,0.69,,,98.5,,,,,,,,,,,,1,1.5935840016664928,
24.6,15.4,9.2,1.91,16.0,41.7,0.31,,,0.47,,,,,62.4,29.6,geotechnical_data_7.xlsx,31.2,0.38,0.61,26.0,,98.3,,,,,,,,,,,,1,1.717204651668297,10.4
39.2,22.6,16.6,1.68,4.0,78.4,0.56,,,0.87,,,,,84.7,55.6,geotechnical_data_7.xlsx,47.7,0.74,0.92,,,100.0,,,,,,,,,,,,1,1.5119571110174084,
40.1,22.1,18.0,1.7,4.0,82.0,0.5,,,0.82,,,,,80.4,48.9,geotechnical_data_7.xlsx,48.7,0.77,1.1,,,100.0,,,,,,,,,,,,1,1.4776956835731347,
34.6,23.1,11.5,1.84,11.0,52.6,0.47,,,0.65,,,,,70.5,34.7,geotechnical_data_7.xlsx,38.4,0.51,0.8,,,99.5,,,,,,,,,,,,1,1.3303191026867227,
32.1,20.1,12.0,,12.0,54.8,0.45,,,0.61,,,,,67.6,34.6,geotechnical_data_7.xlsx,37.7,0.49,0.77,20.0,,99.3,,,,,,,,,,,,1,1.4665444546287811,8.0
29.1,16.8,12.3,1.87,14.0,60.4,0.39,,,0.57,,,,,66.5,33.7,geotechnical_data_7.xlsx,36.2,0.47,0.72,20.0,,98.7,,,,,,,,,,,,1,1.577107552231526,8.0
24.6,15.0,9.6,1.9,15.0,40.5,0.35,,,0.52,,,,,60.1,30.5,geotechnical_data_7.xlsx,28.4,0.4,0.69,,,98.6,,,,,,,,,,,,1,1.3956879491719612,
23.2,14.5,8.7,1.92,16.0,37.2,0.3,,,0.45,,,,,55.6,28.9,geotechnical_data_7.xlsx,26.1,0.38,0.54,,,97.8,,,,,,,,,,,,1,1.3331800942420415,
32.7,21.3,11.4,1.85,10.0,55.5,0.45,,,0.69,,,,,72.8,34.8,geotechnical_data_7.xlsx,37.4,0.51,0.82,,,99.6,,,,,,,,,,,,1,1.4121568283483903,
32.2,20.4,11.8,1.87,12.0,57.7,0.43,,,0.62,,,,,70.4,33.6,geotechnical_data_7.xlsx,37.5,0.49,0.78,20.0,,99.3,,,,,,,,,,,,1,1.4490297432420982,8.0
30.3,18.1,12.2,1.89,14.0,60.4,0.39,,,0.59,,,,,69.5,32.7,geotechnical_data_7.xlsx,35.4,0.47,0.72,20.0,,98.8,,,,,,,,,,,,1,1.4179165642160478,8.0
26.6,17.0,9.6,1.9,15.0,45.2,0.36,,,0.54,,,,,65.1,31.4,geotechnical_data_7.xlsx,32.4,0.42,0.69,,,98.5,,,,,,,,,,,,1,1.6039995833767315,
24.6,15.4,9.2,1.91,16.0,41.7,0.31,,,0.47,,,,,62.4,29.6,geotechnical_data_7.xlsx,30.1,0.38,0.61,,,98.3,,,,,,,,,,,,1,1.5976524290837957,
25.7,16.3,9.4,1.86,15.0,29.5,0.25,,,0.4,,,,,61.5,29.1,geotechnical_data_7.xlsx,25.0,0.32,0.49,34.0,,98.2,,,,,,,,,,,,1,0.9254334645250505,13.600000000000001
22.0,12.8,9.2,1.85,15.0,28.2,0.19,,,0.38,,,,,59.4,28.5,geotechnical_data_7.xlsx,24.5,0.29,0.45,,,98.6,,,,,,,,,,,,1,1.2716009129442454,
34.6,23.0,11.6,1.84,11.0,53.5,0.47,,,0.65,,,,,70.2,34.9,geotechnical_data_7.xlsx,37.7,0.5,0.8,,,99.4,,,,,,,,,,,,1,1.2671321437807088,
33.0,21.0,12.0,,12.0,54.3,0.45,,,0.61,,,,,68.2,33.8,geotechnical_data_7.xlsx,37.5,0.49,0.72,20.0,,99.2,,,,,,,,,,,,1,1.3748854262144823,8.0
29.1,16.9,12.2,1.87,14.0,60.4,0.39,,,0.57,,,,,64.5,33.5,geotechnical_data_7.xlsx,33.3,0.47,0.77,,,98.5,,,,,,,,,,,,1,1.3441521186787968,
24.2,14.8,9.4,1.9,15.0,40.5,0.35,,,0.52,,,,,60.2,30.8,geotechnical_data_7.xlsx,27.3,0.41,0.69,,,98.6,,,,,,,,,,,,1,1.3296457823635783,
23.1,14.3,8.8,1.92,16.0,38.1,0.32,,,0.45,,,,,56.7,28.6,geotechnical_data_7.xlsx,25.1,0.39,0.56,23.0,,97.9,,,,,,,,,,,,1,1.2271332803090558,9.200000000000001
39.2,22.5,16.7,1.68,4.0,78.0,0.56,,,0.87,,,,,84.7,55.3,geotechnical_data_7.xlsx,47.8,0.74,0.92,,,100.0,,,,,,,,,,,,1,1.5148793485420033,
40.1,22.0,18.1,1.7,4.0,85.0,0.5,,,0.83,,,,,80.8,48.3,geotechnical_data_7.xlsx,48.6,0.77,1.1,,,100.0,,,,,,,,,,,,1,1.4695320700513783,
35.1,20.9,14.2,1.43,4.0,51.2,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.61,0.72,0.89,1.25,100.0,85.0,42.0,,,,,1,,
34.7,20.1,14.6,1.44,4.0,48.4,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.63,0.73,0.9,1.24,100.0,84.0,44.0,,,,,1,,
33.8,18.7,15.1,1.48,4.0,47.1,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.65,0.75,0.92,1.23,100.0,86.0,47.0,,,,,1,,
20.1,8.7,11.4,1.89,15.0,42.6,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.31,0.42,0.59,0.73,96.0,64.0,25.0,,,,,1,,
21.2,10.1,11.1,1.86,15.0,42.3,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.34,0.46,0.61,0.76,94.0,62.0,22.0,,,,,1,,
22.0,9.8,12.2,1.81,12.0,33.8,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.32,0.41,0.54,0.61,100.0,76.0,31.0,,,,,1,,
21.7,9.1,12.6,1.82,12.0,34.1,,,,,,,,,,,geotechnical_data_8.xlsx,,,,,,,0.35,0.44,0.57,0.77,100.0,78.0,32.0,,,,,1,,
